Project,BHK,Location,total_floors,Carpet Area,Super Area,Price,Price Per Sqft
Blue Ridge,2,Blue Ridge,25,867,1145,9500000,8297
57 Elevate,3,57 Elevate,35,1010,1364,10000000,7331
Goel Ganga Avanta,3,Goel Ganga Avanta,30,1060,1480,14000000,9459
Shubh Tristar,3,Koregaon Park Annexe,45,1268,1650,16000000,9699
Basil Maximus,2,Punawale,19,749,974,6700000,6879
Zen Estate,3,Zen Estate,13,1120,1575,12800000,8127
The Canary,3,The Canary,30,1371,1850,17200000,9297
57 Elevate,2,57 Elevate,31,754,1017,8500000,8358
Lodha Panache,3,Lodha Panache,28,1133,1480,13000000,8784
Pebbles Greenfield,2,Pebbles Greenfield,25,764,1031,7740000,7507
Abil Imperial Atria Tower 2,4,Abil Imperial Atria Tower 2,25,2400,3200,37000000,11562
Riverdale Grand,3,Riverdale Grand,28,1083,1429,12300000,8608
Kumar Parth Tower,3,Kumar Parth Tower,25,1090,1450,12500000,8621
Puraniks Abitante Fiore,2,Puraniks Abitante Fiore,22,733,1335,7500000,5618
Goel Ganga Legend A4 And B1,2,Goel Ganga Legend A4 And B1,23,836,1060,9900000,9340
Raheja Sterling,3,Raheja Sterling,22,1251,1750,17500000,10000
Unique Youtopia,3,EON Free Zone,15,1000,1340,12100000,9030
Lush Residences,3,Lush Residences,21,1028,1388,10500000,7565
Gloria Grand,3,Gloria Grand,23,1144,1544,13799999,8938
Livmo,2,Livmo,14,615,900,4800000,5333
The Canary,2,The Canary,32,868,1171,9900000,8454
The Strand,3,EON Free Zone,27,1336,1798,16800000,9346
The Ornate,3,The Ornate,32,1150,1500,14600000,9733
Nandan Ace,3,Nandan Ace,25,1551,1551,15100000,9736
The Address,3,The Address,13,1350,1818,18100000,9956
Nirman Cosmopolis,3,Nirman Cosmopolis,24,1064,1380,11399999,8261
Lodha Panache,2,Lodha Panache,28,875,1100,9900000,9000
Krishna Amarillo,2,Hinjewadi Rajiv Gandhi Infotech Park,18,702,920,7600000,8261
The Ornate,3,The Ornate,30,1311,1650,16700000,10121
Avon Vista,2,Avon Vista,21,774,1180,9450000,8008
Kumar Parth Tower,4,Kumar Parth Tower,25,1550,2100,20000000,9524
Rohan Harita,2,Rohan Harita,32,754,1100,7400000,6727
Sukhwani Skylines,3,Sukhwani Skylines,15,938,1291,10400000,8056
Lush Residences,2,Lush Residences,25,800,1023,7900000,7722
Dhanashree Aanand,2,Dhanashree Aanand,14,725,1020,4800000,4706
Kolte Patil Centria,3,Kad Nagar,12,1243,1560,12400000,7949
Platinum Genx Tower,3,Platinum Genx Tower,7,1311,1769,13200000,7462
Sunflower Apartments,2,Sunflower Apartments,9,750,1050,5700000,5429
Godrej Hillside,3,Godrej Hillside,24,980,1300,10000000,7692
