Society,Card Title,Carpet Area,Price,Price Per Sqft,Floor
Gagan Aviva,"2 BHK Flat  for Sale in  Gagan Aviva, Kesnand, Pune",356 sqft,₹42 Lac,"₹7,970 per sqft",
Codename Plus Life,"3 BHK Flat  for Sale in  Codename Plus Life, Kondhwa, Pune",,₹86.4 Lac,"₹9,736 per sqft",
Chandrakamal,"2 BHK Flat  for Sale in  Chandrakamal, Shukrawar Peth, Pune",938 sqft,₹1.75 Cr,"₹13,823 per sqft",
MJ Opera,"2 BHK Flat  for Sale in  MJ Opera, Wakad, Pune",816 sqft,₹90.9 Lac,"₹7,796 per sqft",
ANP Autograph,"4 BHK Flat  for Sale in  ANP Autograph, Punawale, Pimpri Chinchwad, Pune",1777 sqft,₹2.22 Cr,"₹10,039 per sqft",
Kingston Atlantis,"3 BHK Flat  for Sale in  Kingston Atlantis, NIBM Annexe Area, Pune",1130 sqft,₹1.08 Cr,"₹7,666 per sqft",
24K Altura,"3 BHK Flat  for Sale in  24K Altura, Baner, Pune",,₹1.91 Cr,"₹14,100 per sqft",
Hermes Paras 3,"3 BHK Flat  for Sale in  Hermes Paras 3, Kalyani Nagar, Pune",1120 sqft,₹2.37 Cr,"₹15,698 per sqft",
Avaneesh,"3 BHK Flat  for Sale in  Avaneesh, Nigdi, Pimpri Chinchwad, Pune",1199 sqft,₹1.91 Cr,,
Vision Vanessa,"3 BHK Flat  for Sale in  Vision Vanessa, Ravet, Pimpri Chinchwad, Pune",1423 sqft,₹1.73 Cr,"₹9,394 per sqft",
Ambar Zenith,"3 BHK Flat  for Sale in  Ambar Zenith, Viman Nagar, Pune",1414 sqft,₹2.97 Cr,"₹15,014 per sqft",
Nu Era,"3 BHK Flat  for Sale in  Nu Era, Kothrud, Pune",1130 sqft,₹1.99 Cr,"₹13,105 per sqft",
The Silver Altair,"2 BHK Flat  for Sale in  The Silver Altair, Ravet, Pimpri Chinchwad, Pune",881 sqft,₹92.2 Lac,,
Samrajya,"3 BHK Flat  for Sale in  Samrajya, Pimple Gurav, Pimpri Chinchwad, Pune",1040 sqft,₹1.11 Cr,"₹7,630 per sqft",
Riverdale Grove,"2 BHK Flat  for Sale in  Riverdale Grove, Kharadi, Pune",652 sqft,₹90 Lac,"₹10,112 per sqft",
Amanora Crown Towers,"2 BHK Flat  for Sale in  Amanora Crown Towers, Hadapsar, Pune",775 sqft,₹1.59 Cr,"₹13,011 per sqft",
Verista,"3 BHK Flat  for Sale in  Verista, Law College Road, Pune",1258 sqft,₹3.59 Cr,,
Kool Homes Green Valley Phase 2,"2 BHK Flat  for Sale in  Kool Homes Green Valley Phase 2, Bavdhan, Pune",955 sqft,₹1.25 Cr,,
